full_date,date_key,year,quarter,quarter_name,month,month_name,year_month,week,day,day_of_week,day_name,is_weekend,is_month_end
2016-09-16,20160916,2016,3,Q3 2016,9,September,2016-09,37,16,5,Friday,0,0
2016-09-17,20160917,2016,3,Q3 2016,9,September,2016-09,37,17,6,Saturday,1,0
2016-09-18,20160918,2016,3,Q3 2016,9,September,2016-09,37,18,7,Sunday,1,0
2016-09-19,20160919,2016,3,Q3 2016,9,September,2016-09,38,19,1,Monday,0,0
2016-09-20,20160920,2016,3,Q3 2016,9,September,2016-09,38,20,2,Tuesday,0,0
2016-09-21,20160921,2016,3,Q3 2016,9,September,2016-09,38,21,3,Wednesday,0,0
2016-09-22,20160922,2016,3,Q3 2016,9,September,2016-09,38,22,4,Thursday,0,0
2016-09-23,20160923,2016,3,Q3 2016,9,September,2016-09,38,23,5,Friday,0,0
2016-09-24,20160924,2016,3,Q3 2016,9,September,2016-09,38,24,6,Saturday,1,0
2016-09-25,20160925,2016,3,Q3 2016,9,September,2016-09,38,25,7,Sunday,1,0
2016-09-26,20160926,2016,3,Q3 2016,9,September,2016-09,39,26,1,Monday,0,0
2016-09-27,20160927,2016,3,Q3 2016,9,September,2016-09,39,27,2,Tuesday,0,0
2016-09-28,20160928,2016,3,Q3 2016,9,September,2016-09,39,28,3,Wednesday,0,0
2016-09-29,20160929,2016,3,Q3 2016,9,September,2016-09,39,29,4,Thursday,0,0
2016-09-30,20160930,2016,3,Q3 2016,9,September,2016-09,39,30,5,Friday,0,1
2016-10-01,20161001,2016,4,Q4 2016,10,October,2016-10,39,1,6,Saturday,1,0
2016-10-02,20161002,2016,4,Q4 2016,10,October,2016-10,39,2,7,Sunday,1,0
2016-10-03,20161003,2016,4,Q4 2016,10,October,2016-10,40,3,1,Monday,0,0
2016-10-04,20161004,2016,4,Q4 2016,10,October,2016-10,40,4,2,Tuesday,0,0
2016-10-05,20161005,2016,4,Q4 2016,10,October,2016-10,40,5,3,Wednesday,0,0
2016-10-06,20161006,2016,4,Q4 2016,10,October,2016-10,40,6,4,Thursday,0,0
2016-10-07,20161007,2016,4,Q4 2016,10,October,2016-10,40,7,5,Friday,0,0
2016-10-08,20161008,2016,4,Q4 2016,10,October,2016-10,40,8,6,Saturday,1,0
2016-10-09,20161009,2016,4,Q4 2016,10,October,2016-10,40,9,7,Sunday,1,0
2016-10-10,20161010,2016,4,Q4 2016,10,October,2016-10,41,10,1,Monday,0,0
2016-10-11,20161011,2016,4,Q4 2016,10,October,2016-10,41,11,2,Tuesday,0,0
2016-10-12,20161012,2016,4,Q4 2016,10,October,2016-10,41,12,3,Wednesday,0,0
2016-10-13,20161013,2016,4,Q4 2016,10,October,2016-10,41,13,4,Thursday,0,0
2016-10-14,20161014,2016,4,Q4 2016,10,October,2016-10,41,14,5,Friday,0,0
2016-10-15,20161015,2016,4,Q4 2016,10,October,2016-10,41,15,6,Saturday,1,0
2016-10-16,20161016,2016,4,Q4 2016,10,October,2016-10,41,16,7,Sunday,1,0
